Date,Networth
10/02/2023,12750.284
10/09/2023,12284.083
10/16/2023,12193.063
10/23/2023,11140.784
10/30/2023,14486.324
11/06/2023,14457.463
11/13/2023,16011.462
11/20/2023,16457.683
11/27/2023,17236.904
12/04/2023,16939.423
12/11/2023,17894.023
12/18/2023,17896.244
12/25/2023,18133.784
01/01/2024,17381.204
01/08/2024,18910.784
01/15/2024,18602.204
01/22/2024,18944.084
01/29/2024,19250.443
02/05/2024,20979.824
02/12/2024,18886.364
02/19/2024,17765.263
02/26/2024,17842.962
03/04/2024,17747.504
03/11/2024,17967.284
03/18/2024,18315.824
03/25/2024,17971.723
04/01/2024,17552.143
04/08/2024,16379.983
04/15/2024,16306.723
04/22/2024,16542.044
