Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,10.690000,12.700000,10.500000,12.260000,12.260000,2023700
2021-02-08,13.250000,19.110001,12.380000,16.400000,16.400000,31750600
2021-02-15,18.820000,25.025000,16.860001,24.459999,24.459999,33990100
2021-02-22,23.830000,28.000000,15.800000,17.760000,17.760000,28463900
2021-03-01,19.000000,19.430000,11.390000,13.870000,13.870000,22427500
2021-03-08,14.221000,17.860001,13.700000,16.650000,16.650000,10465200
2021-03-15,16.780001,17.000000,14.150000,15.990000,15.990000,6392000
2021-03-22,15.450000,15.990000,13.040000,14.070000,14.070000,6791900
2021-03-29,14.070000,14.490000,12.810000,14.100000,14.100000,4185100
2021-04-05,14.377000,14.400000,13.020000,13.640000,13.640000,3682500
2021-04-12,13.610000,13.750000,12.230000,12.600000,12.600000,5525200
2021-04-19,12.400000,13.550000,11.400000,13.510000,13.510000,5279600
2021-04-26,13.410000,13.980000,12.420000,12.670000,12.670000,2568600
2021-05-03,12.730000,12.750000,11.050000,11.620000,11.620000,3457400
2021-05-10,11.480000,11.700000,10.450000,11.430000,11.430000,3995200
2021-05-17,11.230000,13.900000,10.900000,13.860000,13.860000,3504200
2021-05-24,13.950000,15.250000,13.370000,14.100000,14.100000,3996000
2021-05-31,14.280000,14.940000,13.410000,14.040000,14.040000,1634000
2021-06-07,14.350000,16.230000,14.060000,15.940000,15.940000,3000400
2021-06-14,16.000000,16.179001,14.110000,14.560000,14.560000,1432100
2021-06-21,14.470000,15.690000,14.030000,14.650000,14.650000,2106000
2021-06-28,14.800000,17.268999,14.121000,15.520000,15.520000,5360800
2021-07-05,15.500000,15.517000,13.860000,14.690000,14.690000,1589100
2021-07-12,14.720000,15.490000,13.259000,13.440000,13.440000,2273200
2021-07-19,13.050000,14.770000,12.800000,14.200000,14.200000,4157900
2021-07-26,14.100000,16.420000,12.900000,15.450000,15.450000,12327700
2021-08-02,15.820000,16.400000,14.210000,15.220000,15.220000,6769100
2021-08-09,15.440000,16.731001,13.890000,14.910000,14.910000,18674200
2021-08-16,14.920000,14.940000,13.580000,13.930000,13.930000,7203900
2021-08-23,14.180000,15.980000,13.410000,14.930000,14.930000,10065700
2021-08-30,15.050000,18.120001,14.820000,17.959999,17.959999,18136300
2021-09-06,18.139999,19.760000,15.430000,18.889999,18.889999,24296800
2021-09-13,19.219999,22.889999,17.700001,22.250000,22.250000,34528300
2021-09-20,20.850000,23.969999,19.260000,22.270000,22.270000,18322800
2021-09-27,22.389999,22.459000,18.209999,18.639999,18.639999,14825700
2021-10-04,18.629999,20.520000,17.530001,19.620001,19.620001,18775300
2021-10-11,19.650000,20.540001,18.629999,18.870001,18.870001,12492000
2021-10-18,18.650000,20.180000,18.260000,19.340000,19.340000,9780200
2021-10-25,19.389999,22.700001,18.129999,22.450001,22.450001,21541000
2021-11-01,24.150000,25.690001,19.629999,22.040001,22.040001,42166500
2021-11-08,22.520000,23.620001,20.809999,22.170000,22.170000,15632500
2021-11-15,23.049999,30.799999,22.799999,27.860001,27.860001,51056600
2021-11-22,28.969999,29.799999,25.010000,27.270000,27.270000,23128700
2021-11-29,28.464001,37.599998,24.061001,25.510000,25.510000,73872600
2021-12-06,24.440001,27.795000,22.570000,23.490000,23.490000,39043800
2021-12-13,23.590000,24.392000,20.160000,22.790001,22.790001,31134700
2021-12-20,21.610001,24.780001,21.000000,23.219999,23.219999,22268000
