Date,Networth
10/09/2023,13716.027
10/16/2023,13606.967
10/23/2023,12346.127
10/30/2023,16354.747
11/06/2023,16320.167
11/13/2023,18182.166
11/20/2023,18716.826
11/27/2023,19650.487
12/04/2023,19294.046
12/11/2023,20437.847
12/18/2023,20440.507
12/25/2023,20725.127
01/01/2024,19823.387
01/08/2024,21656.127
01/15/2024,21286.387
01/22/2024,21696.028
01/29/2024,22063.107
02/05/2024,24135.247
02/12/2024,21626.867
02/19/2024,20283.566
02/26/2024,20376.666
03/04/2024,20262.288
03/11/2024,20525.627
03/18/2024,20943.247
03/25/2024,20530.946
04/01/2024,20028.207
04/08/2024,18623.727
04/15/2024,18535.946
04/22/2024,18817.908
