Date,Open,High,Low,Close,Adj Close,Volume
4/22/2019,22,22.739,21.662001,22.228001,22.228001,82768000
4/29/2019,22.533001,26.639999,22.353001,26.403,26.403,187521000
5/6/2019,25.719999,26.672001,25.264,25.882999,25.882999,108597000
5/13/2019,24.791,27.948,24.223,27.35,27.35,106104000
5/20/2019,27.003,28.094999,26.474001,27.584999,27.584999,69122000
5/27/2019,27.834999,28.596001,27.052,27.49,27.49,55914000
6/3/2019,27.427999,30.937,26.216999,30.504999,30.504999,106929000
6/10/2019,30.915001,31.559999,29.857,30.511,30.511,64829000
6/17/2019,30.445,33.894001,30.24,32.685001,32.685001,93434000
6/24/2019,32.334,32.448002,28.169001,30.014999,30.014999,127820000
7/1/2019,30.860001,31.834,30.033001,31.372,31.372,49275000
7/8/2019,31.444,32.98,30.257,31.002001,31.002001,88282000
7/15/2019,30.993999,33.900002,30.6017,33,33,100838000
7/22/2019,33.192001,34.083599,32.410999,33.653999,33.653999,80425000
7/29/2019,33.634998,35.078999,31.035999,33.219002,33.219002,124292000
8/5/2019,31.386999,37.162998,31.339001,36.994999,36.994999,101784000
8/12/2019,36.700001,37.236,34.755001,35.874001,35.874001,89282000
8/19/2019,36.374001,40.116402,35.910999,38.275002,38.275002,106808000
8/26/2019,38.861,40.960999,37.173,38.539001,38.539001,128617000
9/2/2019,38.400002,39.575001,38.014,38.042,38.042,72476000
9/9/2019,38.402,38.402,33.508999,33.831001,33.831001,187445000
9/16/2019,32.851002,34.345001,31.200001,31.882,31.882,156400000
9/23/2019,31.778,32.547001,28.607,30.569,30.569,183342000
9/30/2019,30.469,33.044998,30.07,32.720001,32.720001,121683000
10/7/2019,32.681999,33.733002,31.08,32.925999,32.925999,92537000
10/14/2019,32.898998,34.944,31.212999,31.434,31.434,109869000
10/21/2019,31.700001,32.68,29.106001,31.745001,31.745001,126287000
10/28/2019,32.249001,32.917999,29.864,31.676001,31.676001,136260000
11/4/2019,31.837999,32.099998,28.208,29.764,29.764,119806000
11/11/2019,29.604,31.989,29.346001,31.238001,31.238001,80632000
11/18/2019,31.273001,32.583,30.973301,31.452,31.452,72982000
11/25/2019,31.509001,34.400002,31.232,33.674999,33.674999,78687000
12/2/2019,33.599998,37.691002,31.1532,36.459999,36.459999,172817000
12/9/2019,36.518002,39.200001,36.400002,38.556999,38.556999,128556000
12/16/2019,38.973999,40.48,38.063,39.007,39.007,117817000
12/23/2019,39.286999,41.66,38.613998,40.799999,40.799999,72194000
12/30/2019,40.838001,40.931999,39.101002,40.429001,40.429001,53775000
1/6/2020,39.859001,43.855999,39.542,42.917,42.917,83775000
1/13/2020,43.499001,45.890999,43.049999,45.487999,45.487999,84743000
1/20/2020,45.499001,47.6786,45.409,46.548,46.548,90838000
1/27/2020,44.762001,48.286999,43.674,46.566002,46.566002,92793000
